GCF_000001215.4   7227
GCF_000001405.40  9606
GCF_000001635.27  10090
GCF_000001735.4   3702
GCF_000002035.6   7955
GCF_000002285.5   9615
GCF_000002335.3   7070
GCF_000002425.4   3218
GCF_000002595.2   3055
GCF_000002775.5   3694
GCF_000002985.6   6239
GCF_000003025.6   9823
GCF_000003195.3   4558
GCF_000003815.2   7739
GCF_000004075.3   3659
GCF_000004195.4   8364
GCF_000004515.6   3847
GCF_000004555.2   6238
GCF_000005505.3   15368
GCF_000090745.2   28377
GCF_000090985.2   296587
GCF_000091205.1   280699
GCF_000092065.1   436017
GCF_000146605.3   9103
GCF_000147395.1   4538
GCF_000165445.2   30608
GCF_000184155.1   101020
GCF_000188115.5   4081
GCF_000208745.1   3641
GCF_000214015.3   70448
GCF_000224145.3   7719
GCF_000231095.2   4533
GCF_000237925.1   6183
GCF_000238955.4   106582
GCF_000241765.5   8478
GCF_000242695.1   7918
GCF_000247795.1   9915
GCF_000247815.1   59894
GCF_000263155.2   4555
GCF_000309985.2   3711
GCF_000313855.2   214687
GCF_000317375.1   79684
GCF_000331145.1   3827
GCF_000340665.2   3821
GCF_000346465.2   3760
GCF_000346735.1   102107
GCF_000442705.1   51953
GCF_000499845.1   3885
GCF_000512975.1   4182
GCF_000523025.1   244447
GCF_000633615.1   8081
GCF_000633955.1   90675
GCF_000695525.1   109376
GCF_000699445.3   6185
GCF_000738735.6   932674
GCF_000741045.1   3916
GCF_000801105.2   3726
GCF_000803125.2   9838
GCF_000816755.2   130454
GCF_000817695.3   130453
GCF_000972845.2   215358
GCF_001040885.1   34506
GCF_001194135.2   37653
GCF_001406875.1   28526
GCF_001411555.2   51240
GCF_001433935.1   4528
GCF_001444195.1   32473
GCF_001522545.3   9157
GCF_001531365.2   59895
GCF_001540865.1   4615
GCF_001577835.2   93934
GCF_001633185.2   97700
GCF_001640805.2   8187
GCF_001649575.2   37003
GCF_001659605.2   3983
GCF_001660625.3   7998
GCF_001704415.2   9925
GCF_001858045.2   8128
GCF_001865875.1   3871
GCF_001876935.1   4686
GCF_001879085.1   49451
GCF_002007445.2   9646
GCF_002021735.2   8019
GCF_002022765.2   6565
GCF_002078875.1   8996
GCF_002114115.1   3750
GCF_002127325.2   4232
GCF_002162155.2   85692
GCF_002201575.2   29088
GCF_002204515.2   7159
GCF_002211085.1   206008
GCF_002220235.1   41875
GCF_002234675.1   8090
GCF_002237135.1   139649
GCF_002263795.3   9913
GCF_002575655.2   200361
GCF_002706865.2   69820
GCF_002742605.1   158386
GCF_002775205.1   8083
GCF_002776525.5   591936
GCF_002806865.2   3664
GCF_002837175.3   9755
GCF_002863925.1   9796
GCF_002870075.4   4236
GCF_002878395.1   4072
GCF_002910315.2   8036
GCF_002922805.2   30732
GCF_002994745.2   74649
GCF_003073045.1   400727
GCF_003073215.2   4572
GCF_003086295.2   3818
GCF_003254395.2   7460
GCF_003254725.2   286419
GCF_003255815.1   9565
GCF_003331165.1   8084
GCF_003339765.1   78449
GCF_003368295.1   7957
GCF_003369695.1   30522
GCF_003369915.1   7229
GCF_003473485.1   3880
GCF_003573695.1   3469
GCF_003576645.1   35885
GCF_003590095.1   7111
GCF_003668045.3   10029
GCF_003672135.1   2015173
GCF_003676215.2   43146
GCF_003704035.1   230844
GCF_003711565.1   433684
GCF_003713205.1   49369
GCF_003713225.1   13443
GCF_003957555.1   9244
GCF_003957565.2   59729
GCF_004010195.1   36176
GCF_004027225.2   2489341
GCF_004115215.2   9258
GCF_004115265.2   59479
GCF_004118075.2   3917
GCF_004126475.2   89673
GCF_004193775.1   3848
GCF_004329235.1   64176
GCF_004353265.1   96939
GCF_004354385.1   198719
GCF_004354835.1   210850
GCF_004379255.2   180675
GCF_004382145.1   7226
GCF_004382195.2   7238
GCF_004664715.2   10041
GCF_004785595.1   2249226
GCF_005281545.1   310571
GCF_005286985.1   4556
GCF_005508785.2   7029
GCF_005870125.1   299123
GCF_006149115.2   8023
GCF_006229205.1   37032
GCF_006345805.1   2607531
GCF_006386435.1   300413
GCF_006542625.1   61853
GCF_007210705.1   6832
GCF_007364275.1   63155
GCF_007399415.2   1825980
GCF_007474595.2   61383
GCF_007565055.1   61622
GCF_007655135.1   22663
GCF_007990345.1   3635
GCF_008121235.1   7241
GCF_008315115.2   283036
GCF_008632895.1   35658
GCF_008692025.1   42100
GCF_008692095.1   54343
GCF_008728515.1   9555
GCF_008729295.1   160734
GCF_008831285.2   210225
GCF_009193385.2   7425
GCF_009389715.1   42345
GCF_009650485.2   7291
GCF_009650955.1   1196302
GCF_009727055.1   102211
GCF_009730915.1   55577
GCF_009762305.2   9704
GCF_009762535.1   1203425
GCF_009764475.1   685728
GCF_009764565.3   27794
GCF_009769535.1   35005
GCF_009769545.1   8103
GCF_009769625.2   8869
GCF_009806435.1   9986
GCF_009819535.1   80427
GCF_009819705.1   8267
GCF_009819795.1   219594
GCF_009819885.2   91951
GCF_009829125.3   409849
GCF_009829145.1   468512
GCF_009829155.1   36723
GCF_009834535.1   419612
GCF_009870125.1   7237
GCF_009873245.2   9771
GCF_009914755.1   9606
GCF_010015445.1   8168
GCF_010183535.1   31234
GCF_010389155.1   72917
GCF_010883055.1   2817044
GCF_010909765.2   386614
GCF_010993605.1   7757
GCF_011004845.1   8010
GCF_011064425.1   10117
GCF_011075055.1   29780
GCF_011077185.1   8884
GCF_011100555.1   9483
GCF_011100635.1   9337
GCF_011100685.1   9615
GCF_011125445.2   8078
GCF_011397635.1   293821
GCF_011750605.1   30019
GCF_011762505.1   61156
GCF_011762595.1   9739
GCF_012273895.1   33412
GCF_012275295.1   13146
GCF_012432095.1   369639
GCF_012460135.2   84834
GCF_012489685.1   34305
GCF_012559485.2   9541
GCF_013100865.1   31138
GCF_013103735.1   417921
GCF_013141755.1   30069
GCF_013265735.2   8022
GCF_013339695.2   34632
GCF_013339725.1   6941
GCF_013339745.2   543639
GCF_013340165.1   28584
GCF_013347855.1   7936
GCF_013358625.1   60698
GCF_013358815.1   8005
GCF_013358895.1   47969
GCF_013368585.1   118141
GCF_013373865.1   307658
GCF_013377495.2   8868
GCF_013401445.1   458696
GCF_013753865.1   45264
GCF_013758885.1   7167
GCF_014356525.2   108931
GCF_014441545.1   9615
GCF_014466175.1   30213
GCF_014529535.1   38358
GCF_014633365.1   55363
GCF_014743375.2   1486046
GCF_014773155.1   217475
GCF_014805685.1   175797
GCF_014825855.1   396416
GCF_014839805.1   7130
GCF_014839835.1   118200
GCF_014858855.1   30331
GCF_014905175.1   684658
GCF_014905235.1   7091
GCF_014905685.2   451745
GCF_015220075.1   120794
GCF_015220235.1   27675
GCF_015220715.1   42514
GCF_015220745.1   72105
GCF_015227675.2   10116
GCF_015227805.2   43150
GCF_015228065.2   6687
GCF_015237465.2   8469
GCF_015342785.2   7653
GCF_015476345.1   8839
GCF_015708825.1   7753
GCF_015732765.1   7176
GCF_015832195.1   1094192
GCF_015846415.1   1582913
GCF_015852505.1   9261
GCF_016077325.2   9793
GCF_016086655.3   72036
GCF_016097555.1   1735272
GCF_016161935.1   260615
GCF_016432855.1   8040
GCF_016432865.1   38775
GCF_016433145.1   191870
GCF_016509475.1   37029
GCF_016545825.1   71139
GCF_016617805.1   59916
GCF_016699485.2   9031
GCF_016700215.2   9031
GCF_016746235.2   7243
GCF_016746245.2   129105
GCF_016746365.2   7245
GCF_016746395.2   7240
GCF_016772045.2   9940
GCF_016801865.2   42434
GCF_016802725.1   13686
GCF_016808095.1   3914
GCF_016808335.1   38727
GCF_016835505.1   55291
GCF_016859285.1   8245
GCF_016881025.1   43179
GCF_016906955.1   41426
GCF_016920715.1   7173
GCF_016920845.1   481459
GCF_017562075.2   30066
GCF_017589495.1   278164
GCF_017591435.1   210409
GCF_017639315.1   7217
GCF_017639515.1   13397
GCF_017639655.2   148594
GCF_017639745.1   1250792
