7227 GCF_000001215.4
9606 GCF_000001405.40
10090 GCF_000001635.27
3702 GCF_000001735.4
9615 GCF_000002285.5
13616 GCF_000002295.2
7070 GCF_000002335.3
3218 GCF_000002425.4
3055 GCF_000002595.2
3694 GCF_000002775.5
6239 GCF_000002985.6
41426 GCF_000003025.6
4558 GCF_000003195.3
29760 GCF_000003745.3
7739 GCF_000003815.2
3659 GCF_000004075.3
3847 GCF_000004515.6
6238 GCF_000004555.2
15368 GCF_000005505.3
180454 GCF_000005575.2
296587 GCF_000090985.2
280699 GCF_000091205.1
436017 GCF_000092065.1
4538 GCF_000147395.1
30608 GCF_000165445.2
101020 GCF_000184155.1
4081 GCF_000188115.5
3641 GCF_000208745.1
70448 GCF_000214015.3
7719 GCF_000224145.3
4533 GCF_000231095.2
6183 GCF_000237925.1
9915 GCF_000247795.1
4555 GCF_000263155.2
3711 GCF_000309985.2
214687 GCF_000313855.2
79684 GCF_000317375.1
3827 GCF_000331145.1
3821 GCF_000340665.2
3760 GCF_000346465.2
102107 GCF_000346735.1
51953 GCF_000442705.1
3885 GCF_000499845.1
4182 GCF_000512975.1
90675 GCF_000633955.1
109376 GCF_000695525.1
6185 GCF_000699445.3
3916 GCF_000741045.1
9838 GCF_000803125.2
130454 GCF_000816755.2
130453 GCF_000817695.3
34506 GCF_001040885.1
37653 GCF_001194135.2
28526 GCF_001406875.1
51240 GCF_001411555.2
4528 GCF_001433935.1
59895 GCF_001531365.2
4615 GCF_001540865.1
79200 GCF_001625215.1
97700 GCF_001633185.2
3983 GCF_001659605.2
9925 GCF_001704415.2
3871 GCF_001865875.1
4686 GCF_001876935.1
49451 GCF_001879085.1
9646 GCF_002007445.2
6565 GCF_002022765.2
3750 GCF_002114115.1
4232 GCF_002127325.2
85692 GCF_002162155.2
29088 GCF_002201575.2
7159 GCF_002204515.2
206008 GCF_002211085.1
41875 GCF_002220235.1
139649 GCF_002237135.1
9913 GCF_002263795.2
200361 GCF_002575655.2
69820 GCF_002706865.2
158386 GCF_002742605.1
591936 GCF_002776525.5
3664 GCF_002806865.1
9755 GCF_002837175.2
9796 GCF_002863925.1
4236 GCF_002870075.4
4072 GCF_002878395.1
9598 GCF_002880755.1
9601 GCF_002880775.1
3555 GCF_002917755.1
74649 GCF_002994745.2
400727 GCF_003073045.1
4572 GCF_003073215.2
